ChEMBL ID,Canonical_Smiles,MW,LogP,NumHDonors,NumHAcceptors,pKi
CHEMBL2112373,NC(=N)NCCc1ccc2c(c1)c1C[C@@]3(O)[C@H]4Cc5c6[C@]3([C@H](c1[nH]2)Oc6c(O)cc5)CCN4CC1CC1,499.615,2.59817,6,5,8.31
CHEMBL2112374,NC(=N)NCc1ccc2c(c1)c1C[C@@]3(O)[C@H]4Cc5c6[C@]3([C@H](c1[nH]2)Oc6c(O)cc5)CCN4CC1CC1,485.588,2.55567,6,5,7.15
CHEMBL3360832,NC(=N)NCCC[C@@H](C(=O)NCC1(CCN(CC1)Cc1ccccc1)Nc1ccccc1)N,451.619,1.84007,6,5,7.43
CHEMBL235743,O=C(N[C@H](C(=O)N)Cc1ccccc1)CNC(=O)[C@H](NC(=O)[C@H](Cc1ccc(cc1)O)N)C,455.515,-0.9043,6,6,6.52
CHEMBL91683,CC(=N)NCCc1ccc2c(c1)c1C[C@@]3(O)C4Cc5c6[C@]3([C@H](c1[nH]2)Oc6c(O)cc5)CCN4CC1CC1,498.627,3.70187,5,5,7.67
CHEMBL4574150,O=C(C1=C(O)[C@H]2[C@]34[C@](C1)(O)[C@@H](Cc1c4c(O2)c(O)cc1)N(CC3)CC1CC1)Nc1ccc2c(c1)[nH]cc2,499.567,3.4983,5,6,7.72
CHEMBL3361425,NC(=N)NCCNC(=O)C1(CCN(CC1)Cc1ccccc1)Nc1ccccc1,394.523,1.73257,5,4,5.60
CHEMBL4435773,O=C(C1=C(O)[C@H]2[C@]34[C@](C1)(O)[C@@H](Cc1c4c(O2)c(O)cc1)N(CC3)CC1CC1)NC(C(=O)O)(C)C,470.522,1.3577,5,7,7.93
CHEMBL4521187,OC[C@H](NC(=O)C1=C(O)[C@H]2[C@]34[C@](C1)(O)[C@@H](Cc1c4c(O2)c(O)cc1)N(CC3)CC1CC1)C,442.512,0.8753,5,7,7.74
CHEMBL2178724,CC(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N)Cc1ccccc1)Cc1c[nH]c2c1cccc2,449.511,0.5441,5,4,7.92
CHEMBL1834247,NC(=O)CN1Cc2ccccc2C[C@@H](C1=O)NC(=O)[C@H](NC(=O)[C@H](Cc1c(C)cc(cc1C)O)N)C,495.58,-0.06146,5,6,7.74
CHEMBL607322,O=C(N[C@H]1CC[C@@]2([C@@]34[C@H]1Oc1c4c(C[C@H]2N(CC3)C)ccc1O)O)CNC(=O)CNC(=O)C,458.515,-1.0868,5,7,6.74
